subj date trialcsv
Julian 2023-02-09 salient_movieclip_wajd_Julian_202302_09123653.csv
Julian 2023-02-09 salient_movieclip_wajd_Julian_202302_09122121.csv
Julian 2023-02-09 salient_movieclip_wajd_Julian_202302_09123024.csv
Julian 2023-02-10 salient_movieclip_wajd_Julian_202302_10121143.csv
Julian 2023-02-10 salient_movieclip_wajd_Julian_202302_10120551.csv
Julian 2023-02-10 salient_movieclip_wajd_Julian_202302_10122003.csv
Julian 2023-02-13 salient_movieclip_wajd_Julian_202302_13124306.csv
Julian 2023-02-13 salient_movieclip_wajd_Julian_202302_13124831.csv
Julian 2023-02-14 salient_movieclip_wajd_Julian_202302_14123114.csv
Julian 2023-02-14 salient_movieclip_wajd_Julian_202302_14124328.csv
Julian 2023-02-14 salient_movieclip_wajd_Julian_202302_14123701.csv
Julian 2023-02-15 salient_movieclip_wajd_Julian_202302_15125102.csv
Julian 2023-02-16 salient_movieclip_wajd_Julian_202302_16122109.csv
Julian 2023-02-16 salient_movieclip_wajd_Julian_202302_16123511.csv
Julian 2023-02-16 salient_movieclip_wajd_Julian_202302_16122912.csv
Julian 2023-02-17 salient_movieclip_wajd_Julian_202302_17130902.csv
Julian 2023-02-17 salient_movieclip_wajd_Julian_202302_17131150.csv
Julian 2023-02-17 salient_movieclip_wajd_Julian_202302_17130106.csv
Julian 2023-02-20 salient_movieclip_wajd_Julian_202302_20123917.csv
Julian 2023-02-20 salient_movieclip_wajd_Julian_202302_20123216.csv
Julian 2023-02-20 salient_movieclip_wajd_Julian_202302_20124514.csv
Julian 2023-02-22 salient_movieclip_wajd_Julian_202302_22123526.csv
Julian 2023-02-22 salient_movieclip_wajd_Julian_202302_22123232.csv
Julian 2023-02-22 salient_movieclip_wajd_Julian_202302_22122522.csv
Julian 2023-02-23 salient_movieclip_wajd_Julian_202302_23123445.csv
Julian 2023-02-23 salient_movieclip_wajd_Julian_202302_23123001.csv
Julian 2023-02-23 salient_movieclip_wajd_Julian_202302_23122200.csv
Julian 2023-02-24 salient_movieclip_wajd_Julian_202302_24123947.csv
Julian 2023-02-24 salient_movieclip_wajd_Julian_202302_24124537.csv
Julian 2023-02-24 salient_movieclip_wajd_Julian_202302_24123410.csv
Julian 2023-02-27 salient_movieclip_wajd_Julian_202302_27122502.csv
Julian 2023-02-27 salient_movieclip_wajd_Julian_202302_27123526.csv
Julian 2023-02-27 salient_movieclip_wajd_Julian_202302_27123022.csv
Julian 2023-03-02 salient_movieclip_wajd_Julian_202303_02124320.csv
Julian 2023-03-02 salient_movieclip_wajd_Julian_202303_02123141.csv
Julian 2023-03-02 salient_movieclip_wajd_Julian_202303_02123722.csv
Julian 2023-03-06 salient_movieclip_wajd_Julian_202303_06123437.csv
Julian 2023-03-06 salient_movieclip_wajd_Julian_202303_06122322.csv
Julian 2023-03-06 salient_movieclip_wajd_Julian_202303_06122843.csv
Julian 2023-03-07 salient_movieclip_wajd_Julian_202303_07124659.csv
Julian 2023-03-07 salient_movieclip_wajd_Julian_202303_07124208.csv
Julian 2023-03-07 salient_movieclip_wajd_Julian_202303_07123620.csv
Julian 2023-03-09 salient_movieclip_wajd_Julian_202303_09123011.csv
Julian 2023-03-09 salient_movieclip_wajd_Julian_202303_09124054.csv
Julian 2023-03-09 salient_movieclip_wajd_Julian_202303_09123758.csv
Julian 2023-03-13 salient_movieclip_wajd_Julian_202303_13133621.csv
Julian 2023-03-13 salient_movieclip_wajd_Julian_202303_13132321.csv
Julian 2023-03-13 salient_movieclip_wajd_Julian_202303_13133104.csv
Julian 2023-03-17 salient_movieclip_wajd_Julian_202303_17125155.csv
Julian 2023-03-17 salient_movieclip_wajd_Julian_202303_17124903.csv
Julian 2023-03-17 salient_movieclip_wajd_Julian_202303_17124119.csv
Julian 2023-03-21 salient_movieclip_wajd_Julian_202303_21121851.csv
Julian 2023-03-21 salient_movieclip_wajd_Julian_202303_21123039.csv
Julian 2023-03-21 salient_movieclip_wajd_Julian_202303_21122425.csv
Julian 2023-03-22 salient_movieclip_wajd_Julian_202303_22125731.csv
Julian 2023-03-22 salient_movieclip_wajd_Julian_202303_22130238.csv
Julian 2023-03-22 salient_movieclip_wajd_Julian_202303_22130722.csv
Julian 2023-03-23 salient_movieclip_wajd_Julian_202303_23133850.csv
Julian 2023-03-23 salient_movieclip_wajd_Julian_202303_23134633.csv
Julian 2023-03-23 salient_movieclip_wajd_Julian_202303_23134942.csv
Julian 2023-03-27 salient_movieclip_wajd_Julian_202303_27130118.csv
Julian 2023-03-27 salient_movieclip_wajd_Julian_202303_27125526.csv
Julian 2023-03-29 salient_movieclip_wajd_Julian_202303_29125253.csv
Julian 2023-03-29 salient_movieclip_wajd_Julian_202303_29124450.csv
Julian 2023-03-29 salient_movieclip_wajd_Julian_202303_29125617.csv
Julian 2023-03-30 salient_movieclip_wajd_Julian_202303_30131125.csv
Julian 2023-03-30 salient_movieclip_wajd_Julian_202303_30130518.csv
Julian 2023-03-31 salient_movieclip_wajd_Julian_202303_31130444.csv
Julian 2023-03-31 salient_movieclip_wajd_Julian_202303_31131027.csv
Julian 2023-03-31 salient_movieclip_wajd_Julian_202303_31125949.csv
Julian 2023-04-05 salient_movieclip_wajd_Julian_202304_05131612.csv
Julian 2023-04-05 salient_movieclip_wajd_Julian_202304_05130747.csv
Julian 2023-04-05 salient_movieclip_wajd_Julian_202304_05131921.csv
Julian 2023-04-06 salient_movieclip_wajd_Julian_202304_06131016.csv
Julian 2023-04-06 salient_movieclip_wajd_Julian_202304_06131744.csv
Julian 2023-04-06 salient_movieclip_wajd_Julian_202304_06130420.csv
Julian 2023-04-10 salient_movieclip_wajd_Julian_202304_10122627.csv
Julian 2023-04-10 salient_movieclip_wajd_Julian_202304_10122326.csv
Julian 2023-04-10 salient_movieclip_wajd_Julian_202304_10121335.csv
Julian 2023-04-11 salient_movieclip_wajd_Julian_202304_11130737.csv
Julian 2023-04-11 salient_movieclip_wajd_Julian_202304_11130646.csv
Julian 2023-04-11 salient_movieclip_wajd_Julian_202304_11125655.csv
Julian 2023-04-12 salient_movieclip_wajd_Julian_202304_12131045.csv
Julian 2023-04-12 salient_movieclip_wajd_Julian_202304_12130715.csv
