npts,vid,t1,t2,xcc,ycc,xycc,subj1,subj2,spec1,spec2
553,tv-talk05,945o,126o,0.12990295542915384,0.1748965119837935,0.15239973370647367,Sub1,HH0293,human,marmo
553,tv-talk05,945o,189o,0.008930463895962849,-0.07811484998029838,-0.03459219304216777,Sub1,HH0310,human,marmo
553,tv-talk05,945o,310o,0.00691946281335944,-0.0351442400700131,-0.01411238862832683,Sub1,HH0310,human,marmo
553,tv-talk05,945o,333o,-0.007538547778867971,-0.08701446585380293,-0.047276506816335453,Sub1,HH0301,human,marmo
553,tv-talk05,945o,338o,0.11466446785947128,-0.18635839202287402,-0.03584696208170137,Sub1,HH0301,human,marmo
553,tv-talk05,945o,410o,-0.16211411589032906,0.27745008927460957,0.05766798669214025,Sub1,Denis,human,human
553,tv-talk05,945o,468o,0.06352315755244056,0.3033497953360619,0.1834364764442512,Sub1,Sub1,human,human
553,tv-talk05,945o,548o,0.07585880781467609,-0.04354066239673696,0.016159072708969567,Sub1,Sub1,human,human
553,tv-talk05,945o,609o,-0.13765321122422514,0.31247670452939424,0.08741174665258455,Sub1,Sub2,human,human
553,tv-talk05,945o,627o,0.036666910164926306,-0.1737775244489986,-0.06855530714203614,Sub1,Sub2,human,human
553,tv-talk05,999o,1038o,0.298596631982325,0.012542968718637961,0.15556980035048149,Ueno,Ueno,macaq,macaq
553,tv-talk05,999o,1043o,0.205819662408903,-0.34407664026783386,-0.06912848892946542,Ueno,Ueno,macaq,macaq
553,tv-talk05,999o,1139o,0.038490744270710434,0.3906157698008071,0.21455325703575875,Ueno,Ojo,macaq,macaq
553,tv-talk05,999o,1258o,-0.15054626882268726,0.22682327891719078,0.03813850504725176,Ueno,Ojo,macaq,macaq
553,tv-talk05,999o,126o,-0.00998418739931266,0.14014802882847066,0.065081920714579,Ueno,HH0293,macaq,marmo
553,tv-talk05,999o,189o,0.08818249633413369,-0.13192633408386722,-0.021871918874866766,Ueno,HH0310,macaq,marmo
553,tv-talk05,999o,310o,-0.0505043924666404,-0.020558145396953914,-0.03553126893179716,Ueno,HH0310,macaq,marmo
553,tv-talk05,999o,333o,0.18871162906279776,-0.20429884304837395,-0.007793606992788096,Ueno,HH0301,macaq,marmo
553,tv-talk05,999o,338o,0.3241200024112874,-0.08268390065717808,0.12071805087705467,Ueno,HH0301,macaq,marmo
553,tv-talk05,999o,410o,0.2462037983014523,-0.13470944194836423,0.05574717817654404,Ueno,Denis,macaq,human
553,tv-talk05,999o,468o,-0.053279124318930435,-0.012623746420710288,-0.03295143536982036,Ueno,Sub1,macaq,human
553,tv-talk05,999o,548o,0.2004355414235384,0.03096526399331201,0.1157004027084252,Ueno,Sub1,macaq,human
553,tv-talk05,999o,609o,0.09155511094822873,-0.1904886090608746,-0.04946674905632293,Ueno,Sub2,macaq,human
553,tv-talk05,999o,627o,0.1071348196384602,-0.03864274508323754,0.03424603727761133,Ueno,Sub2,macaq,human
553,tv-talk05,999o,945o,-0.173628139307902,-0.09613783156405542,-0.1348829854359787,Ueno,Sub1,macaq,human
