subj,date,trialcsv,muscimol
Julian,2023-04-12,salient_movieclip_wajd_Julian_202304_12130145.csv,False
Julian,2023-04-14,salient_movieclip_wajd_Julian_202304_14131314.csv,False
Julian,2023-04-14,salient_movieclip_wajd_Julian_202304_14131018.csv,False
Julian,2023-04-17,salient_movieclip_wajd_Julian_202304_17132328.csv,False
Julian,2023-04-17,salient_movieclip_wajd_Julian_202304_17130834.csv,False
Julian,2023-04-17,salient_movieclip_wajd_Julian_202304_17131653.csv,False
Julian,2023-04-18,salient_movieclip_wajd_Julian_202304_18133109.csv,False
Julian,2023-04-18,salient_movieclip_wajd_Julian_202304_18132129.csv,False
Julian,2023-04-20,salient_movieclip_wajd_Julian_202304_20133433.csv,False
Julian,2023-04-20,salient_movieclip_wajd_Julian_202304_20133359.csv,False
Julian,2023-04-20,salient_movieclip_wajd_Julian_202304_20132620.csv,False
Julian,2023-04-21,salient_movieclip_wajd_Julian_202304_21130628.csv,False
Julian,2023-04-21,salient_movieclip_wajd_Julian_202304_21131153.csv,False
Julian,2023-04-26,salient_movieclip_wajd_Julian_202304_26132527.csv,False
Julian,2023-04-26,salient_movieclip_wajd_Julian_202304_26133130.csv,False
Julian,2023-04-26,salient_movieclip_wajd_Julian_202304_26133734.csv,False
Julian,2023-04-27,salient_movieclip_wajd_Julian_202304_27131418.csv,False
Julian,2023-04-27,salient_movieclip_wajd_Julian_202304_27131940.csv,False
Julian,2023-04-27,salient_movieclip_wajd_Julian_202304_27130919.csv,False
Julian,2023-04-28,salient_movieclip_wajd_Julian_202304_28130753.csv,False
Julian,2023-05-08,salient_movieclip_wajd_Julian_202305_08124615.csv,False
Julian,2023-05-08,salient_movieclip_wajd_Julian_202305_08125006.csv,False
Julian,2023-05-08,salient_movieclip_wajd_Julian_202305_08125721.csv,False
Julian,2023-05-09,salient_movieclip_wajd_Julian_202305_09162652.csv,True
Julian,2023-05-09,salient_movieclip_wajd_Julian_202305_09163214.csv,True
Julian,2023-05-09,salient_movieclip_wajd_Julian_202305_09162012.csv,True
Julian,2023-05-10,salient_movieclip_wajd_Julian_202305_10125332.csv,False
Julian,2023-05-10,salient_movieclip_wajd_Julian_202305_10130954.csv,False
Julian,2023-05-11,salient_movieclip_wajd_Julian_202305_11124538.csv,True
Julian,2023-05-11,salient_movieclip_wajd_Julian_202305_11124139.csv,True
Julian,2023-05-11,salient_movieclip_wajd_Julian_202305_11122927.csv,True
Julian,2023-05-11,salient_movieclip_wajd_Julian_202305_11123518.csv,True
Julian,2023-05-11,salient_movieclip_wajd_Julian_202305_11123854.csv,True
Julian,2023-05-12,salient_movieclip_wajd_Julian_202305_12141028.csv,False
Julian,2023-05-12,salient_movieclip_wajd_Julian_202305_12140415.csv,False
Julian,2023-05-12,salient_movieclip_wajd_Julian_202305_12141324.csv,False
Julian,2023-05-13,salient_movieclip_wajd_Julian_202305_13121238.csv,True
Julian,2023-05-13,salient_movieclip_wajd_Julian_202305_13120858.csv,True
Julian,2023-05-13,salient_movieclip_wajd_Julian_202305_13122143.csv,True
Julian,2023-05-13,salient_movieclip_wajd_Julian_202305_13120150.csv,True
Julian,2023-05-15,salient_movieclip_wajd_Julian_202305_15130738.csv,True
Julian,2023-05-15,salient_movieclip_wajd_Julian_202305_15131340.csv,True
Julian,2023-05-15,salient_movieclip_wajd_Julian_202305_15132449.csv,True
Julian,2023-05-15,salient_movieclip_wajd_Julian_202305_15131926.csv,True
Julian,2023-05-16,salient_movieclip_wajd_Julian_202305_16134608.csv,False
Julian,2023-05-16,salient_movieclip_wajd_Julian_202305_16133847.csv,False
Julian,2023-05-16,salient_movieclip_wajd_Julian_202305_16133254.csv,False
Julian,2023-06-05,salient_movieclip_wajd_Julian_202306_05133559.csv,False
Julian,2023-06-05,salient_movieclip_wajd_Julian_202306_05133122.csv,False
Julian,2023-06-05,salient_movieclip_wajd_Julian_202306_05134028.csv,False
Julian,2023-06-06,salient_movieclip_wajd_Julian_202306_06141203.csv,True
Julian,2023-06-06,salient_movieclip_wajd_Julian_202306_06141755.csv,True
Julian,2023-06-06,salient_movieclip_wajd_Julian_202306_06142232.csv,True
Julian,2023-06-06,salient_movieclip_wajd_Julian_202306_06140653.csv,True
Julian,2023-06-07,salient_movieclip_wajd_Julian_202306_07133519.csv,False
Julian,2023-06-07,salient_movieclip_wajd_Julian_202306_07134021.csv,False
Julian,2023-06-07,salient_movieclip_wajd_Julian_202306_07134441.csv,False
Julian,2023-06-08,salient_movieclip_wajd_Julian_202306_08131931.csv,True
Julian,2023-06-08,salient_movieclip_wajd_Julian_202306_08130554.csv,True
Julian,2023-06-08,salient_movieclip_wajd_Julian_202306_08132917.csv,True
Julian,2023-06-08,salient_movieclip_wajd_Julian_202306_08132438.csv,True
Julian,2023-06-09,salient_movieclip_wajd_Julian_202306_09132908.csv,False
Julian,2023-06-09,salient_movieclip_wajd_Julian_202306_09132031.csv,False
Julian,2023-06-09,salient_movieclip_wajd_Julian_202306_09133344.csv,False
Julian,2023-06-12,salient_movieclip_wajd_Julian_202306_12110033.csv,True
Julian,2023-06-12,salient_movieclip_wajd_Julian_202306_12105404.csv,True
Julian,2023-06-12,salient_movieclip_wajd_Julian_202306_12111041.csv,True
Julian,2023-06-12,salient_movieclip_wajd_Julian_202306_12110616.csv,True
Julian,2023-06-13,salient_movieclip_wajd_Julian_202306_13125649.csv,False
Julian,2023-06-13,salient_movieclip_wajd_Julian_202306_13124949.csv,False
Julian,2023-06-14,salient_movieclip_wajd_Julian_202306_14131139.csv,True
Julian,2023-06-14,salient_movieclip_wajd_Julian_202306_14130018.csv,True
